grid_id,lon_center,lat_center,MU_GLOBAL,T_SAND,T_CLAY,T_SILT,T_OC,T_GRAVEL,T_REF_BULK_DENSITY,T_ECE,S_SAND,S_CLAY,S_SILT,S_OC,S_GRAVEL,S_REF_BULK_DENSITY,S_ECE
264,115.9191,30.0422,11605.0000,29.0000,21.0000,50.0000,1.1200,10.0000,1.3800,0.3000,34.0000,21.0000,45.0000,0.8200,10.0000,1.3900,0.3000
265,116.0191,30.0422,11823.0000,40.0000,27.0000,33.0000,0.8300,5.0000,1.3600,0.1000,36.0000,36.0000,28.0000,0.3400,5.0000,1.3100,0.1000
266,116.1191,30.0422,11823.0000,40.0000,27.0000,33.0000,0.8300,5.0000,1.3600,0.1000,36.0000,36.0000,28.0000,0.3400,5.0000,1.3100,0.1000
267,116.2191,30.0422,11823.0000,40.0000,27.0000,33.0000,0.8300,5.0000,1.3600,0.1000,36.0000,36.0000,28.0000,0.3400,5.0000,1.3100,0.1000
268,116.3191,30.0422,11927.0000,,,,,,,,,,,,,,
269,116.4191,30.0422,11927.0000,,,,,,,,,,,,,,
270,116.5191,30.0422,11927.0000,,,,,,,,,,,,,,
271,116.6191,30.0422,11495.0000,34.0000,18.0000,48.0000,0.6000,15.0000,1.4100,0.7000,36.0000,18.0000,46.0000,0.4000,10.0000,1.4100,0.5000
272,116.7191,30.0422,11928.0000,,,,,,,,,,,,,,
273,116.8191,30.0422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
274,116.9191,30.0422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
275,117.0191,30.0422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
276,117.1191,30.0422,11375.0000,42.0000,20.0000,38.0000,1.4500,10.0000,1.4100,0.1000,45.0000,20.0000,35.0000,0.5000,19.0000,1.4200,0.1000
277,117.2191,30.0422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
278,117.3191,30.0422,11818.0000,28.0000,50.0000,22.0000,3.0700,10.0000,1.2500,0.1000,24.0000,57.0000,19.0000,0.9400,5.0000,1.2200,0.1000
